Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID
"Almeida-Maués P.C.R., Bueno A.S., Palmeirim A.F., Peres C.A., Mendes-Oliveira A.C.","57438446300;36194984000;36449400300;7005085103;54784960500;","Assessing assemblage-wide mammal responses to different types of habitat modification in Amazonian forests",2022,"Scientific Reports","12","1","1797","","",,,"10.1038/s41598-022-05450-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123973581&doi=10.1038%2fs41598-022-05450-1&partnerID=40&md5=8fead8d247bc9961003b8c9a2633ea68","Tropical forests are being heavily modified by varying intensities of land use ranging from structural degradation to complete conversion. While ecological responses of vertebrate assemblages to habitat modification are variable, such understanding is critical to appropriate conservation planning of anthropogenic landscapes. We assessed the responses of medium/large-bodied mammal assemblages to the ecological impacts of reduced impact logging, secondary regrowth, and eucalyptus and oil palm plantations in Eastern Brazilian Amazonia. We used within-landscape paired baseline-treatment comparisons to examine the impact of different types of habitat modification in relation to adjacent primary forest. We examined assemblage-wide metrics including the total number of species, number of primary forest species retained in modified habitats, abundance, species composition, and community integrity. We ranked all types of habitat modification along a gradient of assemblage-wide impact intensity, with oil palm and eucalyptus plantations exerting the greatest impact, followed by secondary regrowth, and selectively logging. Selectively-logged and secondary forests did not experience discernible biodiversity loss, except for the total number of primary forest species retained. Secondary forests further experienced pronounced species turnover, with loss of community integrity. Considering the biodiversity retention capacity of anthropogenic habitats, this study reinforces the landscape-scale importance of setting aside large preserved areas. © 2022, The Author(s).",,"Mendes-Oliveira, A.C.; Instituto de Ciências Biológicas - LABEV, PA, Brazil; email: cris.mastozoologia@gmail.com",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123973581
"Condé T.M., Tonini H., Higuchi N., Higuchi F.G., Lima A.J.N., Barbosa R.I., dos Santos Pereira T., Haas M.A.","56012039100;14631213400;7006393638;52363733300;21743200800;7006723001;57667468400;57669458800;","Effects of sustainable forest management on tree diversity, timber volumes, and carbon stocks in an ecotone forest in the northern Brazilian Amazon",2022,"Land Use Policy","119",,"106145","","",,,"10.1016/j.landusepol.2022.106145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129486079&doi=10.1016%2fj.landusepol.2022.106145&partnerID=40&md5=234b8ee28f12896f4e58c5c5ff34c854","The tension between the large global demand for tropical timber, and ecological sustainability and local socioeconomic development in the fragile natural ecosystems of the Amazon region has challenged many generations. In this case study, carried out in an ecotone forest in the northern Brazilian Amazon, we seek to demonstrate how forest management can became more sustainable through silvicultural prescriptions that reduce forest degradation and soil erosion. We evaluated the effects of the sustainable forest management (SFM) on tree diversity, timber volumes, and carbon stocks. A continuous forest inventory was carried out in nine 1-ha permanent plots (900 subplots of 100 m²), distributed in three treatments with three repetitions: T1 = control without selective logging, T2 = SFM, and T3 = SFM + silvicultural treatment of thinning release by tree girdling and poisoning. SFM was carried out with an average of three commercial timber trees harvested per hectare with DBH (diameter at breast height) ≥ 50 cm, corresponding to a timber volume of 20 ± 6 m3 ha-1, equivalent to the removal of 7 ± 2 Mg C ha-1 (5% of the original C). The formation of clearings (gaps) arising from the falling of exploited trees (0.12 ± 0.09 ha) resulted in greater impacts on the forest structure than the construction of 4 m skidder trails (0.06 ± 0.04 ha), with an average of 7 ± 4 damaged trees ha-1 and 5 ± 3 dead trees ha-1. Although six trees species became locally extinct, tree diversity was little altered, and timber volumes and forest carbon volume stocks remained essentially constant at this average logging intensity. Based on our results, sustainable forest management can become an efficient model for land use in the Amazon when harvesting is carried out using this average logging intensity. However, long-term monitoring studies using permanent plots in ecotone forests in the Brazilian Amazon will still be necessary. Quantifying, evaluating, and reporting impacts related to forest management will enable the formation of an empirical basis to support sustanaible forestry practices and for updating environmental legislation, contributing to local socioeconomic development, and maintaining the environmental services provided globally by tropical forests. © 2022","Forest carbon; Land use; Selective logging; Sustainable timber production; Tropical forest","Condé, T.M.; Universidade Estadual de Roraima (UERR), Av. Senador Helio Campos s/n, Roraima, Brazil; email: tiagonafloresta@gmail.com",Article,"Final","",Scopus,2-s2.0-85129486079
"Bousfield C.G., Massam M.R., Peres C.A., Edwards D.P.","57215501093;57193697743;7005085103;7404087101;","Carbon payments can cost-effectively improve logging sustainability in the Amazon",2022,"Journal of Environmental Management","314",,"115094","","",,,"10.1016/j.jenvman.2022.115094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128987213&doi=10.1016%2fj.jenvman.2022.115094&partnerID=40&md5=3d2f3ef6a6189813f8fd6e4d4a1713fa","Selective logging is pervasive across the tropics and unsustainable logging depletes forest biodiversity and carbon stocks. Improving the sustainability of logging will be crucial for meeting climate targets. Carbon-based payment for ecosystem service schemes, including REDD+, give economic value to standing forests and can protect them from degradation, but only if the revenue from carbon payments is greater than the opportunity cost of forgone or reduced logging. We currently lack understanding of whether carbon payments are feasible for protecting Amazonian forests from logging, despite the Amazon holding the largest unexploited timber reserves and an expanding logging sector. Using financial data and inventories of &gt;660,000 trees covering 52,000 ha of Brazilian forest concessions, we estimate the carbon price required to protect forests from logging. We estimate that a carbon price of $7.90 per tCO2 is sufficient to match the opportunity costs of all logging and fund protection of primary forest. Alternatively, improving the sustainability of logging operations by ensuring a greater proportion of trees are left uncut requires only slightly higher investments of $7.97–10.45 per tCO2. These prices fall well below the current compliance market rate and demonstrate a cost-effective opportunity to safeguard large tracts of the Amazon rainforest from further degradation. © 2022 The Authors","Amazon; Biodiversity; Carbon; Forest degradation; REDD+; Selective logging; Tropical forest","Bousfield, C.G.; Ecology and Evolutionary Biology, United Kingdom; email: cbousfield1@sheffield.ac.uk
Edwards, D.P.; Ecology and Evolutionary Biology, United Kingdom; email: david.edwards@sheffield.ac.uk",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85128987213
"Vieira Cesário F., Carvalho Balieiro F.D., Mazzei L.","57555911600;57555911700;35322834300;","Humipedon dynamics in lowland Amazonian forests: are there Amphi humus forms even in tropical rain forests?",2022,"Geoderma","418",,"115849","","",,,"10.1016/j.geoderma.2022.115849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127352303&doi=10.1016%2fj.geoderma.2022.115849&partnerID=40&md5=554dfbc5007cb0c3fac09c6db0ab6838","Understanding humipedon dynamics is crucial to capture forest ecological processes. However, studies disentangling humipedon dynamics in tropical forests are scarce. The humipedon structure classification is important because it shows how forest ecosystems interact and react with (a)biotic factors. Here, we used the humus morpho-functional approach to investigate how soil texture and reduced impact-logging affect forest humipedon structure and dynamics in the eastern Amazon. We used a morpho-functional classification of humus forms as the foundation to visualize, classify, and code 133 soil profiles in two contrasting soil textures and different post-logging practices, to identify litter leaching, fragmentation, and humification processes coupled with soil aggregation and root dynamics. The classification of humus forms resulted in the identification of three humus systems: Mull, Moder and Amphi. Sandy and clayey textures differ statistically (χ2 = 51.83; p &lt; 0.001), with sandy texture predominating in Moder system, while clayey texture exhibits Amphi or Mull systems. Sandy textures presented a weak soil aggregation, but strong association with root (rhiOF) and humification (OH) horizons, leading to a clear transition between organic and mineral pools. In contrast, clayey textures show a strong carbon storage and soil aggregation. The humipedon horizons differ significantly (p = 0.009; stress = 0.1142 and R2 = 0.987) and their dynamics clearly evolve towards an opposite direction. The classification framework introduced here supports environmental management by promoting speed and viability in diagnosing forest ecosystem soils towards forest protection or use in the landscape, and specific climate mitigation goals both in local and regional planning. © 2022 Elsevier B.V.","Carbon; Humus; Litter; Soil texture; Tropical soils","Vieira Cesário, F.; Universidade Federal do Rio de Janeiro UFRJ, Brazil; email: fernandovieiracesario@gmail.com",Article,"Final","",Scopus,2-s2.0-85127352303
"Sullivan M.K., Biessiemou P.A.M., Niangadouma R., Abernethy K., Queenborough S.A., Comita L.","57215024717;57554436700;54892060800;7004267574;16643844400;12041828400;","A decade of diversity and forest structure: Post-logging patterns across life stages in an Afrotropical forest",2022,"Forest Ecology and Management","513",,"120169","","",,,"10.1016/j.foreco.2022.120169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127252984&doi=10.1016%2fj.foreco.2022.120169&partnerID=40&md5=d590e8ec7bd0043e84142f8cc4637d9e","Tropical forests are under threat of increasing pressure from income-generating land uses. Selective logging is a compromise that allows use of the land while leaving much of the forest canopy intact across a landscape. However, the ecological impacts of selective logging are unclear, with evidence of positive, negative, and negligible effects on forest structure and diversity. We examined the impact of selective logging on the structure and diversity of evergreen tropical forest in the Monts de Cristal region, a chain of mid-elevation hills in northwestern Gabon. For three size classes (seedling, sapling, and adult) of woody plant species, we tested whether forest structure (canopy openness, stem density, basal area, and relative liana abundances) and diversity were altered in forests that had been logged one year and ten years prior, compared to unlogged forest. In general, we found no large impact of selective logging treatment on the structure and diversity of adult woody plant communities, but the seedling and sapling communities were affected. Compared to unlogged forest, one-year post-logging forest had greater variation in canopy openness and lower sapling stem density. Ten-year post-logging forest had higher seedling and sapling species evenness, higher sapling species diversity, and higher relative abundance of sapling-sized lianas compared to unlogged forest. Our results show that key differences between intact and selectively logged forests persist in the understory at least a decade after logging. Overall, these results contribute an additional data point in the literature on selective logging, specifically representing the impacts of very low impact selective logging in Central African forests. Our study highlights the value of exploring selective logging impacts at multiple time periods of recovery, and makes an important contribution to the knowledge Central African managed forests. © 2022 Elsevier B.V.","Alpha diversity; Gabon; Liana increases; Selective logging; Tropical forest","Sullivan, M.K.195 Prospect Street, United States; email: sullivanmks@gmail.com",Article,"Final","",Scopus,2-s2.0-85127252984
"Rangel Pinagé E., M. Bell D., Longo M., Gao S., Keller M., Silva C.A., Ometto J.P., Köhler P., Frankenberg C., Huete A.","57506729200;57189640729;13408501200;57212062932;57214710909;57190177072;8532367000;56061147100;9233141100;7006114701;","Forest structure and solar-induced fluorescence across intact and degraded forests in the Amazon",2022,"Remote Sensing of Environment","274",,"112998","","",,,"10.1016/j.rse.2022.112998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126618744&doi=10.1016%2fj.rse.2022.112998&partnerID=40&md5=37c8c02cc7bc6c41599b37e5f9bcd54a","Tropical forest degradation (e.g., anthropogenic disturbances such as selective logging and fires) alters forest structure and function and influences the forest's carbon sink. In this study, we explored structure-function relationships across a variety of degradation levels in the southern Brazilian Amazon by 1) investigating how forest structural properties vary as a function of degradation history using airborne lidar data; 2) assessing the effects of degradation on solar-induced chlorophyll fluorescence (SIF) seasonality using TROPOMI data; and 3) quantifying the contribution of structural variables to SIF using multiple regression models with stepwise selection of lidar metrics. Forest degradation history was obtained through Landsat time-series classification. We found that fire, logging, and time since disturbance were major determinants of forest structure, and that forests affected by fires experienced larger variability in leaf area index (LAI), canopy height and vertical structure relative to logged and intact forests. Moreover, only recently burned forests showed significantly depressed SIF during the dry season compared to intact forests. Canopy height and the vertical distribution of foliage were the best predictors of SIF. Unexpectedly, we found that wet-season SIF was higher in active regenerating forests (~ 4 years after fires or logging) compared with intact forests, despite lower LAI. Our findings help to elucidate the mechanisms of carbon accumulation in anthropogenically disturbed tropical forests and indicate that they can capture large amounts of carbon while recovering. © 2022 Elsevier Inc.","Amazon; Forest degradation; Forest fires; Forest structure; Selective logging; Solar-induced chlorophyll fluorescence","Rangel Pinagé, E.; College of Forestry, United States; email: rangelpe@oregonstate.edu",Article,"Final","",Scopus,2-s2.0-85126618744
"Rossi L.C., Berenguer E., Lees A.C., Barlow J., Ferreira J., França F.M., Tavares P., Pizo M.A.","55798390100;54683478200;7202901003;7402197897;18436550200;55175154700;57558070600;6602776865;","Predation on artificial caterpillars following understorey fires in human-modified Amazonian forests",2022,"Biotropica","54","3",,"754","763",,,"10.1111/btp.13097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127397981&doi=10.1111%2fbtp.13097&partnerID=40&md5=60fac65aad869f6cd20fed499cbd15c8","Tropical forests are facing several impacts from anthropogenic disturbances, climate change, and extreme climate events, with potentially severe consequences for ecological functions, such as predation on folivorous invertebrates. Folivory has a major influence on tropical forests by affecting plant fitness and overall seedling performance. However, we do not know whether the predation of folivorous arthropods by birds, mammals, reptiles, and other arthropods is affected by anthropogenic disturbances such as selective logging and forest fires. We investigated the impacts of both pre-El Niño human disturbances and the 2015–2016 El Niño understorey fires on the predation of 4500 artificial caterpillars across 30 Amazonian forest plots. Plots were distributed in four pre-El Niño forest classes: undisturbed, logged, logged-and-burned, and secondary forests, of which 14 burned in 2015–16. We found a higher predation incidence in forests that burned during the El Niño in comparison with unburned ones. Moreover, logged-and-burned forests that burned again in 2015–16 were found to have significantly higher predation incidence by vertebrates than other forest classes. However, overall predation incidence in pre-El Niño forest disturbance classes was similar to undisturbed forests. Arthropods were the dominant predators of artificial caterpillars, accounting for 91.5% of total predation attempts. Our results highlight the resilience of predation incidence in human-modified forests, although the mechanisms underpinning this resilience remain unclear. Abstract in Portuguese is available with online material. © 2022 The Association for Tropical Biology and Conservation.","Amazon; arthropods; dummy caterpillar; El Niño; forest degradation; forest fires; forest regeneration; herbivory control","Rossi, L.C.; Departamento de Biodiversidade, Brazil; email: lianachesinibio@gmail.com",Article,"Final","",Scopus,2-s2.0-85127397981
"DeArmond D., Ferraz J.B.S., Lovera L.H., de Souza C.A.S., Spanner G.C., Lima A.J.N., dos Santos J., Higuchi N.","57205890303;7005535057;36975879700;55236322100;57209688134;21743200800;8784114500;7006393638;","Impacts to soil properties still evident 27 years after abandonment in Amazonian log landings",2022,"Forest Ecology and Management","510",,"120105","","",,1,"10.1016/j.foreco.2022.120105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124980541&doi=10.1016%2fj.foreco.2022.120105&partnerID=40&md5=24c23fd1a119c6ab09e99d1b8250b24a","Logging machinery impacts site soil properties mainly through topsoil removal and compaction. The greatest soil disturbance occurs in the logging infrastructure areas: skid trails, roads and log landings. Although landings generally occupy less of the site than skid trails and roads, they suffer severe compaction usually accompanied with complete topsoil removal to level the soil surface for log decking and loading. Few long-term studies have quantified if landing soil properties recover, with none in the humid tropical forests of Amazonia. The aim of this study was to determine if soil bulk density, penetration resistance and fine root biomass in 27-year-old abandoned log landings had returned to a similar state of the adjacent old-growth forest soils. The working hypothesis was that impacts on soil remained despite the regenerated stand of trees present on the landings. Results revealed that the soil physical properties in the log landings were still significantly higher than the controls. Furthermore, fine root biomass was still below the levels presented in the controls. Therefore, in log landings located on very clayey soils in Central Amazonia, soil compaction persists for at least 27 years. © 2022 Elsevier B.V.","Bulk density; Fine root biomass; Forest management; Penetration resistance; Recovery; Seasonality","DeArmond, D.; Instituto Nacional de Pesquisas da Amazônia - INPA, Av. André Araújo, 2.936 Petrópolis, AM, Brazil; email: daniel.dearmond.lmf@gmail.com",Article,"Final","",Scopus,2-s2.0-85124980541
"Lawer E.A., Mupepele A.-C., Darkoh E.L., Farwig N., Oware S., Larbi J.A., Essiaw-Quayson G., Klein A.-M.","56646519900;56062843100;57188764242;57205249405;57611451600;12766706300;57611451700;37122198500;","Logging effects on parasitic infections in a swamp rat (Malacomys edwardsi) in West Africa",2022,"Journal of Mammalogy","103","2",,"383","393",,,"10.1093/jmammal/gyab159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128791950&doi=10.1093%2fjmammal%2fgyab159&partnerID=40&md5=28c03e1dd4bd0d6e1f6d4437201bbf48","Habitat disturbance can have negative impacts on biodiversity, such as reducing species richness. The effects of habitat disturbances on parasite infections of host species, potentially altering their survival rate and thus abundance, are less well known. We examined the influence of forest logging in combination with seasonality, host abundance, host body condition, and host sex, on the community composition of gastrointestinal parasites infecting Edward's swamp rat, Malacomys edwardsi. Community composition of parasites did not differ between logged and undisturbed sites, but the abundance of some nematodes (i.e., Ascaris and hookworm) was higher in undisturbed than logged sites. The higher abundance of these nematode species implies a changed host-parasite relationship, thus potentially influencing host persistence. © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of the American Society of Mammalogists, www.mammalogy.org.","chainsaw milling; Ghana; helminths; host-parasite relationships; multiparasitism; small mammal; tropical forest","Lawer, E.A.; Nature Conservation and Landscape Ecology, Germany; email: ladjei@uds.edu.gh",Article,"Final","",Scopus,2-s2.0-85128791950
"Le Roux R., Wagner F., Blanc L., Betbeder J., Gond V., Dessard H., Funatzu B., Bourgoin C., Cornu G., Herault B., Montfort F., Sist P., Begue A., Dubreuil V., Laurent F., Messner F., Fadhil Hasan A., Arvor D.","57194577956;35763219600;8324697000;55805902000;6603641900;6508237784;57556540200;57192679078;24821258400;8715617900;57218438350;6603621678;7007128655;14019498900;57196237297;39362002300;57196247761;24079960900;","How wildfires increase sensitivity of Amazon forests to droughts",2022,"Environmental Research Letters","17","4","044031","","",,,"10.1088/1748-9326/ac5b3d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127370377&doi=10.1088%2f1748-9326%2fac5b3d&partnerID=40&md5=2782f8790a97eb2f0d5b77e2b2fa44c7","The phenology of tropical forests is tightly related to climate conditions. In the Amazon, the seasonal greening of forests is conditioned by solar radiation and rainfall. Yet, increasing anthropogenic pressures (e.g. logging and wildfires), raise concerns about the impacts of forest degradation on the functioning of forest ecosystems, especially in a climate change context. In this study, we relied on remote sensing data to assess the contribution of solar radiation and precipitation to forest greening in mature and fire degraded forests, with a focus on the 2015 drought event. Our results showed that forest greening is more dependent on water resources in degraded forests than in mature forests. As a consequence, the expected increase in drought episodes and associated fire occurrences under climate change could lead to a long-term drying of tropical forests. © 2022 The Author(s). Published by IOP Publishing Ltd.","Amazon forest; climate; fire","Le Roux, R.; CIRAD, France; email: renan.lr@hotmail.fr",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85127370377
