"Topic","n()"
"Forest structure/damage/biomass",223
"Detection techniques/remote sensing",68
"Produtivity",57
"Temporal dynamics/expansion",57
"Soil/water resources",51
"Feasibility and economy",49
"Birds",46
"Invertebrates",43
"Exploited tree species",41
"Functional diversity - trees",35
"Medium/large mammals",35
"Trees",35
"Reviews with multiple topics",27
"Seed dispersal",24
"Liana/Vine",22
"Small mammals",22
"Nutrients cycling /stocks",19
"Impacts on non-timbers",15
"Pollination",14
"Logging and bushmeat",13
"Socio-economic impacts",13
"Amphibians",8
"Bats",8
"Herbivory and pathogens",8
"Biological invasion",6
"Herbs",4
"Reptiles",3
"Fishes",2
"Epiphytes",1
